                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0574,                0.15161,                 0.3234,                 4.7207,             0.00023777,             0.00023777,             0.00023777
                      2,                 2.3029,                0.21432,                0.36737,                 4.6426,             0.00046007,             0.00046007,             0.00046007
                      3,                 1.8376,                0.24411,                 0.3938,                  4.608,             0.00066666,             0.00066666,             0.00066666
                      4,                 1.5759,                0.26982,                0.39716,                 4.5764,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.4002,                0.27102,                 0.4063,                 4.5703,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.2676,                 0.2703,                 0.4075,                 4.5656,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1683,                0.28448,                0.40846,                 4.5508,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.0911,                0.29313,                0.41158,                 4.5409,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.0279,                0.30106,                0.41927,                 4.5334,             0.00054907,             0.00054907,             0.00054907
                     10,                0.93874,                0.30106,                 0.4123,                 4.5272,              0.0005255,              0.0005255,              0.0005255
                     11,                0.89223,                0.29938,                 0.4135,                 4.5311,             0.00050194,             0.00050194,             0.00050194
                     12,                0.84418,                0.30202,                0.41567,                 4.5188,             0.00047838,             0.00047838,             0.00047838
                     13,                0.78923,                0.29841,                0.41591,                 4.5245,             0.00045482,             0.00045482,             0.00045482
                     14,                0.76783,                0.30562,                0.41134,                 4.5172,             0.00043126,             0.00043126,             0.00043126
                     15,                0.73151,                0.30562,                0.41807,                 4.5222,             0.00040769,             0.00040769,             0.00040769
                     16,                 0.6845,                 0.3073,                0.41422,                 4.5162,             0.00038413,             0.00038413,             0.00038413
                     17,                 0.6632,                0.31403,                0.41519,                 4.5129,             0.00036057,             0.00036057,             0.00036057
                     18,                0.63065,                0.31764,                0.41543,                 4.5078,             0.00033701,             0.00033701,             0.00033701
                     19,                0.61638,                0.31379,                0.41519,                  4.508,             0.00031345,             0.00031345,             0.00031345
                     20,                0.56924,                0.31043,                0.41687,                 4.5129,             0.00028988,             0.00028988,             0.00028988
                     21,                0.55564,                0.31812,                0.41567,                 4.5051,             0.00026632,             0.00026632,             0.00026632
                     22,                0.53984,                0.31547,                0.41831,                 4.5089,             0.00024276,             0.00024276,             0.00024276
                     23,                0.51827,                0.31355,                0.41927,                  4.508,              0.0002192,              0.0002192,              0.0002192
                     24,                0.49874,                0.32124,                0.41999,                 4.5039,             0.00019564,             0.00019564,             0.00019564
                     25,                0.47612,                0.31764,                0.41831,                 4.5056,             0.00017207,             0.00017207,             0.00017207
                     26,                0.46618,                0.31571,                0.41879,                 4.5034,             0.00014851,             0.00014851,             0.00014851
                     27,                0.44578,                0.31812,                0.41999,                 4.5038,             0.00012495,             0.00012495,             0.00012495
                     28,                0.43836,                0.32028,                0.41711,                  4.503,             0.00010139,             0.00010139,             0.00010139
                     29,                0.41584,                0.32124,                0.41783,                  4.498,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.41914,                0.32004,                0.41807,                 4.4989,             5.4264e-05,             5.4264e-05,             5.4264e-05
